id,nom_structure,latitude,longitude,arrondissement_propose,methode,confiance
360,CROIX ROUGE (COMITÉ DÉPARTEMENTAL DE LA VINA( ndere1 ),7.319597,13.576615,Ngaoundere 1,nominatim,haute
361,HEAL THE WORLD (ndéré 1),7.319751,13.585387,Ngaoundere 2,nominatim,haute
362,Centre de santé privé catholique St.pierre Gada mabanga ,7.367544,13.569904,Ngaoundere 2,nominatim,haute
363,Centre de santé intégré privé Lakenpa,7.327442,13.599195,Ngaoundere 2,nominatim,haute
364,Centre de santé catholique de djaredi,7.323258,13.606791,Ngaoundere 2,nominatim,haute
365,Cabinet de soin de bon secours ,7.359443,13.586899,Ngaoundere 2,nominatim,haute
366,COMMISSARIAT CENTRALE ndere,7.320117,13.574877,Ngaoundere 1,nominatim,haute
367,Commissariat de sécurité publique 4e arrondissement de Dang ,7.422799,13.552910,Ngaoundere 3,nominatim,haute
368,APRODHAFIM,7.320266,13.586176,Ngaoundere 2,nominatim,haute
369,APRODHAFIM ,7.320266,13.586176,Ngaoundere 2,nominatim,haute
370,Brigade de gendarmerie de dang,7.434111,13.560503,Ngaoundere 3,nominatim,haute
371,Centre de santé intégré de djalingo mabanga ,7.338358,13.588596,Ngaoundere 2,nominatim,haute
372,Centre social universitaire ,7.416800,13.544234,Ngaoundere 3,nominatim,haute
373,Centre de santé privé Alhadji yaouba,7.302800,13.592617,Ngaoundere 1,nominatim,haute
374,Centre social Ngaoundere 1,7.318489,13.579667,Ngaoundere 1,nominatim,haute
375,Centre social Ngaoundere 1,7.318489,13.579667,Ngaoundere 1,nominatim,haute
376,Centre de santé privé OISA ANNOUR,7.296375,13.570627,Ngaoundere 1,nominatim,haute
377,Centre social Ngaoundere 1 ,7.321293,13.577864,Ngaoundere 1,nominatim,haute
378,Centre de santé intégré catholique de bamyanga marza,7.289602,13.581260,Ngaoundere 1,nominatim,haute
379,Infirmièrie de la base aérienne 302 ngaoundéré ,7.351093,13.558333,Ngaoundere 2,nominatim,haute
380,Service d'action sociale auprès de la population auchotone bororo de l'adamaoua ,7.317545,13.578220,Ngaoundere 1,nominatim,haute
381,COMMISSION DES DROITS DE L'HOMME DU CAMEROUN ( antenne régional pour l'adamoua),7.320443,13.580390,Ngaoundere 2,nominatim,haute
382,Centre de santé prive yves plumier de marza,7.281013,13.577859,Ngaoundere 1,nominatim,haute
383,Service d'action sociale auprès de la population bororo,7.317545,13.578220,Ngaoundere 1,nominatim,haute
384, Centre de santé intégré public de bamyanga hamadjandji,7.290416,13.560864,Ngaoundere 1,nominatim,haute
385,AJVN (association des jeunes volontaires de ngaoundere) ndéré 2,7.343781,13.592685,Ngaoundere 2,nominatim,haute
386,AJVN (association des jeunes volontaires de ngaoundere) ndere,7.343474,13.591962,Ngaoundere 2,nominatim,haute
387,Gendarmerie Nationale de Légion de l'Adamaoua (Nderé 2),7.337678,13.568283,Ngaoundere 2,nominatim,haute
388,EJEDIPRO (entraide jeunes diplômés pour le développement durable) ndéré 2,7.343474,13.591962,Ngaoundere 2,nominatim,haute
389,Brigade de Recherche,7.342986,13.564841,Ngaoundere 2,nominatim,haute
390,Centre médical de la police ,7.320354,13.583283,Ngaoundere 2,nominatim,haute
391,Délégation régionale des affaires sociales pour l'adamaoua ,7.316915,13.579796,Ngaoundere 1,nominatim,haute
392,BRIGADE TER de BIDEN,7.317545,13.578220,Ngaoundere 1,nominatim,haute
393,Délégation régionale des affaires sociales pour l'adamaoua ,7.316915,13.579796,Ngaoundere 1,nominatim,haute
394,Délégation régionale des affaires sociales pour l'adamaoua ,7.317845,13.580351,Ngaoundere 1,nominatim,haute
395,Délégation départementale des affaires sociales de la Vina,7.327914,13.565680,Ngaoundere 1,nominatim,haute
396,Chronique de la patience ,7.320354,13.583283,Ngaoundere 2,nominatim,haute
397,Délégation régionale de la promotion de la femme et de la famille de l'adamaoua ,7.315196,13.579667,Ngaoundere 1,nominatim,haute
398,centre de sante logements sociaux,7.320291,13.563757,Ngaoundere 1,nominatim,haute
